Day(200 confirmed cases),Germany,Italy,United States,South Korea,Sweden,Brazil,Colombia
1,262,229,233,345,203,200,277
2,400,322,338,601,248,234,306
3,684,400,433,762,326,291,378
4,847,650,554,892,462,428,470
5,902,888,754,1146,620,621,491
6,1139,1128,1025,1595,775,904,539
7,1296,1689,1312,2022,924,1128,608
8,1567,2036,1663,2931,1032,1546,702
9,2369,2502,2174,3526,1121,1891,798
10,3062,3089,2951,4212,1167,2201,906
11,3795,3858,3774,4812,1301,2433,1065
12,4838,4636,4661,5328,1423,2915,1161
13,6012,5883,6427,5766,1623,3417,1267
14,7156,7375,9415,6284,1746,3904,1406
15,8198,9172,14250,6767,1906,4256,1485
16,14138,10149,19624,7134,2016,4579,1579
17,18187,12462,26747,7382,2272,5717,1780
18,21463,15113,35206,7513,2510,6836,2054
19,24774,17660,46442,7755,2806,7910,2223
20,29212,21157,55231,7869,3046,9056,2473
21,31554,23980,69194,7979,3447,10278,2709
22,36508,27980,85991,8086,3700,11130,2776
23,42288,31506,104686,8162,4028,12056,2852
24,48582,35713,124665,8236,4435,13717,2979
25,52547,41035,143025,8320,4947,15927,3105
26,57298,47021,164620,8413,5466,17857,3233
27,61913,53578,189618,8565,6078,19638,3439
28,67366,59138,216721,8652,6443,20727,3621
29,73522,63927,245540,8799,6830,22169,3792
30,79696,69176,277965,8897,7206,23430,3977
31,85778,74386,312237,8961,7693,25262,4149
32,91714,80539,337635,9037,8419,28320,4356
33,95391,86498,368196,9137,9141,30425,4561
34,99225,92472,398809,9241,9685,33682,4881
35,103228,97689,432132,9332,10151,36599,5142
36,108202,101739,466033,9478,10483,38654,5379
37,113525,105792,501560,9583,10948,40581,5597
38,117658,110574,529951,9661,11445,43079,5949
39,120479,115242,557571,9786,11927,45757,6211
40,123016,119827,582594,9786,12540,49492,6507
41,125098,124632,609516,9976,13216,52995,7006
42,127584,128948,639664,10062,13822,58509,7285
43,130450,132547,671331,10156,14385,61888,7668
44,133830,135586,702164,10237,14777,66501,7973
45,137439,139422,735086,10284,15322,71886,8613
46,139897,143626,759687,10331,16004,78162,8959
47,141672,147577,787752,10384,16755,85380,9456
48,143457,152271,825041,10423,17567,91589,10051
49,145694,156363,842629,10450,18177,96559,10495
50,148046,159516,869172,10450,18640,101147,11063
51,150383,162488,890524,10512,18926,107780,11613
52,152438,165155,939053,10537,19621,114715,12272
53,154175,168941,965910,10564,20302,125218,12930
54,155193,172434,988451,10591,21092,135106,13610
55,156337,175925,1012583,10613,21520,145328,14216
56,157641,178972,1039909,10635,22082,155939,14939
57,159119,181228,1069826,10653,22317,162699,15574
58,160758,183957,1103781,10661,22721,168331,16295
59,161703,187327,1133069,10674,23216,177589,16935
60,162496,189973,1158041,10683,23918,188974,17687
61,163175,192994,1180634,10694,24623,202918,18330
62,163860,195351,1204475,10702,25265,218223,19131
63,164897,197675,1228603,10708,25921,233142,20177
64,166091,199414,1256972,10718,26322,241080,21175
65,167300,201505,1283929,10728,26670,254220,21981
66,168551,203591,1309541,10738,27272,271628,23003
67,169218,205463,1329799,10752,27909,291579,24104
68,169575,207428,1347916,10761,28582,310087,25366
69,170508,209328,1369964,10765,29207,330890,26688
70,171306,210717,1390746,10774,29677,347398,28236
71,172239,211938,1417889,10780,30143,363211,29383
72,173152,213013,1443397,10793,30377,374898,30493
73,173772,214457,1467884,10801,30799,391222,31833
74,174355,215858,1486757,10804,31523,411821,33354
75,174697,217185,1508598,10806,32172,438238,35120
76,175210,218268,1528568,10810,32809,465166,36635
77,176007,219070,1551853,10822,33188,498440,38027
78,176752,219814,1577287,10840,33459,514849,39236
79,177212,221216,1601434,10874,33843,526447,40719
80,177850,222104,1622670,10909,34440,555383,42078
81,178281,223096,1643238,10936,35088,584016,43682
82,178570,223885,1662302,10962,35727,614932,45212
83,179002,224760,1681212,10991,36476,645762,46858
84,179364,225435,1699933,11018,37113,672837,48746
85,179717,225886,1721750,11037,37542,691758,50939
86,180458,226699,1747087,11050,37814,707412,53063
87,181196,227364,1770384,11065,38589,739503,54931
88,181482,228006,1790191,11078,40803,772416,57046
89,181815,228658,1811277,11110,41883,802828,60217
90,182028,229327,1831821,11122,42939,828810,63276
91,182370,229858,1851520,11142,43887,850514,65633
92,182764,230158,1872660,11165,44730,867624,68652
93,183271,230555,1897838,11190,45133,888271,71183
94,183678,231139,1920061,11206,45924,923189,73572
95,183979,231732,1942363,11225,46814,955377,77113
96,184193,232248,1961185,11265,48288,978142,80599
97,184543,232664,1979850,11344,49684,1032913,84442
98,184861,233019,2000464,11402,50931,1067579,88591
