Date,Total Confirmed Cases,Total Tests,Total deaths
03/06/2020,1,712,
03/07/2020,1,744,
03/08/2020,1,815,
03/09/2020,3,856,
03/10/2020,3,981,
03/11/2020,9,1169,
03/12/2020,13,1479,
3/13/2020,16,1798,
3/14/2020,24,2141,
3/15/2020,45,2350,
3/16/2020,57,2680,
3/17/2020,75,3123,
3/18/2020,102,3708,
3/19/2020,128,4353,
3/20/2020,175,4911,
3/21/2020,196,5502,1
3/22/2020,277,6542,2
3/23/2020,306,7546,3
3/24/2020,378,8534,3
3/25/2020,470,8898,4
3/26/2020,491,9971,6
3/27/2020,539,11384,6
3/28/2020,608,,6
3/29/2020,702,16064,10
3/30/2020,798,,14
3/31/2020,906,,16
04/01/2020,1065,,17
04/02/2020,1161,,19
04/03/2020,1267,,25
04/04/2020,1406,,32
04/05/2020,1485,27685,35
04/06/2020,1579,,46
04/07/2020,1780,,50
04/08/2020,2054,,55
04/09/2020,2223,,69
04/10/2020,2473,,80
04/11/2020,2709,,100
04/12/2020,2776,41798,109
4/13/2020,2852,43053,112
