Day (200 total cases),Italy (Daily confirmed cases),Italy (Total confirmed cases),Germany (Daily confirmed cases),Germany (Total confirmed cases),South Korea (Daily confirmed cases),South Korea (Total confirmed cases),U.S. (Daily confirmed cases),U.S. (Total confirmed cases),Colombia (Daily confirmed cases),Colombia (Total confirmed cases)
1,97,229,66,262,190,345,74,233,81,277
2,93,322,138,400,256,601,105,338,29,306
3,78,400,284,684,161,762,95,433,72,378
4,250,650,163,847,130,892,121,554,92,470
5,238,888,55,902,254,1146,200,754,21,491
6,240,1128,237,1139,449,1595,271,1025,48,539
7,561,1689,157,1296,427,2022,287,1312,69,608
8,347,2036,271,1567,909,2931,351,1663,94,702
9,466,2502,802,2369,595,3526,511,2174,96,798
10,587,3089,693,3062,686,4212,777,2951,108,906
11,769,3858,733,3795,600,4812,823,3774,159,1065
12,778,4636,1043,4838,516,5328,887,4661,96,1161
13,1247,5883,1174,6012,438,5766,1766,6427,106,1267
14,1492,7375,1144,7156,518,6284,2988,9415,139,1406
15,1797,9172,1042,8198,483,6767,4835,14250,79,1485
16,977,10149,5940,14138,367,7134,5374,19624,94,1579
17,2313,12462,4049,18187,248,7382,7123,26747,201,1780
18,2651,15113,3276,21463,131,7513,8459,35206,274,2054
19,2547,17660,3311,24774,242,7755,11236,46442,,
20,3497,21157,4438,29212,114,7869,8789,55231,,
21,2823,23980,2342,31554,110,7979,13963,69194,,
22,4000,27980,4954,36508,107,8086,16797,85991,,
23,3526,31506,5780,42288,76,8162,18695,104686,,
24,4207,35713,6294,48582,74,8236,19979,124665,,
25,5322,41035,3965,52547,84,8320,18360,143025,,
26,5986,47021,4751,57298,93,8413,21595,164620,,
27,6557,53578,4615,61913,152,8565,24998,189618,,
28,5560,59138,5453,67366,87,8652,27103,216721,,
29,4789,63927,6156,73522,147,8799,28819,245540,,
30,5249,69176,6174,79696,98,8897,32425,277965,,
31,5210,74386,6082,85778,64,8961,34272,312237,,
32,6153,80539,5936,91714,76,9037,25398,337635,,
33,5959,86498,3677,95391,100,9137,30561,368196,,
34,5974,92472,3834,99225,104,9241,30613,398809,,
35,5217,97689,4003,103228,91,9332,33323,432132,,
36,4050,101739,4974,108202,146,9478,,,,
37,4053,105792,,,105,9583,,,,
38,4782,110574,,,78,9661,,,,
39,4668,115242,,,125,9786,,,,
40,4585,119827,,,0,9786,,,,
41,4805,124632,,,190,9976,,,,
42,4316,128948,,,86,10062,,,,
43,3599,132547,,,94,10156,,,,
44,3039,135586,,,81,10237,,,,
45,3836,139422,,,47,10284,,,,
46,,,,,47,10331,,,,
47,,,,,53,10384,,,,
48,,,,,39,10423,,,,
