fecha,codigo,departamento,pruebas,casos_confirmados,casos_fallecido
06/15/2020,05,ANTIOQUIA,61095,2147,9
06/15/2020,08,ATLANTICO,45293,10882,419
06/15/2020,11,BOGOTA D.C.,145795,16404,393
06/15/2020,13,BOLIVAR,35067,5256,217
06/15/2020,15,BOYACA,10914,251,9
06/15/2020,17,CALDAS,6556,200,7
06/15/2020,18,CAQUETA,1399,25,1
06/15/2020,19,CAUCA,3699,189,8
06/15/2020,20,CESAR,6520,554,16
06/15/2020,23,CORDOBA,8516,279,16
06/15/2020,25,CUNDINAMARCA,17217,1715,42
06/15/2020,27,CHOCO,3658,1721,72
06/15/2020,41,HUILA,9483,276,9
06/15/2020,44,LA GUAJIRA,2522,138,7
06/15/2020,47,MAGDALENA,11005,973,64
06/15/2020,50,META,12175,1025,11
06/15/2020,52,NARIÑO,9845,2171,76
06/15/2020,54,NORTE DE SANTANDER,9392,162,13
06/15/2020,63,QUINDIO,2999,128,4
06/15/2020,66,RISARALDA,8655,323,11
06/15/2020,68,SANTANDER,15177,253,9
06/15/2020,70,SUCRE,5042,240,10
06/15/2020,73,TOLIMA,7802,394,13
06/15/2020,76,VALLE DEL CAUCA,44959,5071,208
06/15/2020,81,ARAUCA,1565,45,0
06/15/2020,85,CASANARE,2426,38,0
06/15/2020,86,PUTUMAYO,579,13,3
06/15/2020,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,676,19,0
06/15/2020,91,AMAZONAS,8435,2131,78
06/15/2020,94,GUAINIA,889,7,1
06/15/2020,95,GUAVIARE,572,5,0
06/15/2020,97,VAUPES,979,27,0
06/15/2020,99,VICHADA,784,1,0
