fecha,codigo,departamento,pruebas,casos_confirmados,casos_fallecido
04/22/2020,05,ANTIOQUIA,11026,393,3
04/22/2020,08,ATLANTICO,3395,118,6
04/22/2020,11,BOGOTA D.C.,24388,1836,77
04/22/2020,13,BOLIVAR,2416,199,15
04/22/2020,15,BOYACA,956,33,1
04/22/2020,17,CALDAS,1485,50,2
04/22/2020,18,CAQUETA,118,2,1
04/22/2020,19,CAUCA,1106,24,3
04/22/2020,20,CESAR,694,35,1
04/22/2020,23,CORDOBA,967,21,2
04/22/2020,25,CUNDINAMARCA,1236,175,9
04/22/2020,27,CHOCO,265,26,1
04/22/2020,41,HUILA,1228,81,5
04/22/2020,44,LA GUAJIRA,198,2,1
04/22/2020,47,MAGDALENA,1248,120,11
04/22/2020,50,META,1017,100,4
04/22/2020,52,NARIÑO,937,62,6
04/22/2020,54,NORTE DE SANTANDER,1866,60,4
04/22/2020,63,QUINDIO,837,55,2
04/22/2020,66,RISARALDA,1367,141,5
04/22/2020,68,SANTANDER,1651,36,2
04/22/2020,70,SUCRE,197,1,0
04/22/2020,73,TOLIMA,707,40,2
04/22/2020,76,VALLE DEL CAUCA,8863,724,43
04/22/2020,81,ARAUCA,174,0,0
04/22/2020,85,CASANARE,415,10,0
04/22/2020,86,PUTUMAYO,61,0,0
04/22/2020,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,130,6,0
04/22/2020,91,AMAZONAS,89,6,0
04/22/2020,94,GUAINIA,0,0,0
04/22/2020,95,GUAVIARE,124,0,0
04/22/2020,97,VAUPES,20,0,0
04/22/2020,99,VICHADA,0,0,0
04/23/2020,05,ANTIOQUIA,11487,426,3
04/23/2020,08,ATLANTICO,3469,125,7
04/23/2020,11,BOGOTA D.C.,25641,1883,78
04/23/2020,13,BOLIVAR,2598,204,17
04/23/2020,15,BOYACA,997,33,1
04/23/2020,17,CALDAS,1595,50,2
04/23/2020,18,CAQUETA,151,2,1
