Date,Total Confirmed Cases,Total Tests,Total deaths
1/28/2020,1,,
1/29/2020,4,,
1/30/2020,4,,
1/31/2020,5,,
2/01/2020,7,,
2/02/2020,8,,
2/03/2020,9,,
2/04/2020,11,,
2/05/2020,11,,
2/06/2020,11,,
2/07/2020,12,,
2/08/2020,13,,
2/09/2020,13,,
2/10/2020,13,,
2/11/2020,13,,
2/12/2020,15,,
2/13/2020,15,,
2/14/2020,15,,
2/15/2020,15,,
2/16/2020,15,,
2/17/2020,15,,
2/18/2020,15,,
2/19/2020,15,,
2/20/2020,15,,
2/21/2020,15,,
2/22/2020,15,,
2/23/2020,15,,
2/24/2020,15,,
2/25/2020,15,,
2/26/2020,17,,
2/27/2020,21,,
2/28/2020,47,,
2/29/2020,57,,
3/01/2020,111,,
3/02/2020,129,,
3/03/2020,157,,
3/04/2020,196,,
3/05/2020,262,,
3/06/2020,400,,
3/07/2020,684,,
3/08/2020,847,124716,
3/09/2020,902,,
3/10/2020,1139,,2
3/11/2020,1296,,2
3/12/2020,1567,,3
3/13/2020,2369,,5
3/14/2020,3062,,5
3/15/2020,3795,252173,8
3/16/2020,4838,,12
3/17/2020,6012,,13
3/18/2020,7156,,13
3/19/2020,8198,,13
3/20/2020,14138,,43
3/21/2020,18187,,45
3/22/2020,21463,600792,67
3/23/2020,24774,,94
3/24/2020,29212,,126
3/25/2020,31554,,149
3/26/2020,36508,,198
3/27/2020,42288,,253
3/28/2020,48582,,325
3/29/2020,52547,962166,389
3/30/2020,57298,,455
3/31/2020,61913,,583
4/01/2020,67366,,732
4/02/2020,73522,,872
4/03/2020,79696,,1017
4/04/2020,85778,,1158
4/05/2020,91714,1370339,1342
4/06/2020,95391,,1434
4/07/2020,99225,,1607
4/08/2020,103228,,1861
4/09/2020,108202,,2107
4/10/2020,113525,,2373
4/11/2020,117658,,2544
4/12/2020,120479,1749220,2673
4/13/2020,123016,,2799
4/14/2020,125098,,2969
4/15/2020,127584,,3254
4/16/2020,130450,,3569
4/17/2020,133830,,3868
4/18/2020,137439,,4110
4/19/2020,139897,2072669,4294
4/20/2020,141672,,4404
4/21/2020,143457,,4598
4/22/2020,145694,,4879
