Date,Total Confirmed Cases,Total Tests,Total deaths
12/31/2019,0,,0
01/01/2020,0,,0
01/02/2020,0,,0
01/03/2020,0,,0
01/04/2020,0,,0
01/05/2020,0,,0
01/06/2020,0,,0
01/07/2020,0,,0
01/08/2020,0,,0
01/09/2020,0,,0
01/10/2020,0,,0
01/11/2020,0,,0
01/12/2020,0,,0
01/13/2020,0,,0
01/14/2020,0,,0
01/15/2020,0,,0
01/16/2020,0,,0
01/17/2020,0,,0
01/18/2020,0,,0
01/19/2020,0,,0
01/20/2020,0,,0
01/21/2020,0,,0
01/22/2020,0,,0
01/23/2020,0,,0
01/24/2020,0,,0
01/25/2020,0,,0
01/26/2020,0,,0
01/27/2020,0,,0
01/28/2020,0,,0
01/29/2020,0,,0
01/30/2020,0,,0
01/31/2020,3,,0
02/01/2020,3,,0
02/02/2020,3,,0
02/03/2020,3,,0
02/04/2020,3,,0
02/05/2020,3,,0
02/06/2020,3,,0
02/07/2020,3,,0
02/08/2020,3,,0
02/09/2020,3,,0
02/10/2020,3,,0
02/11/2020,3,,0
02/12/2020,3,,0
02/13/2020,3,,0
02/14/2020,3,,0
02/15/2020,3,,0
02/16/2020,3,,0
02/17/2020,3,,0
02/18/2020,3,,0
02/19/2020,3,,0
02/20/2020,3,,0
02/21/2020,3,,0
02/22/2020,17,,0
02/23/2020,79,,2
02/24/2020,132,,2
02/25/2020,229,,6
02/26/2020,322,,11
02/27/2020,400,,12
02/28/2020,650,,17
02/29/2020,888,,21
03/01/2020,1128,,29
03/02/2020,1689,,35
03/03/2020,2036,,52
03/04/2020,2502,,80
03/05/2020,3089,,107
03/06/2020,3858,,148
03/07/2020,4636,,197
03/08/2020,5883,,233
03/09/2020,7375,,366
03/10/2020,9172,,464
03/11/2020,10149,,631
03/12/2020,12462,,827
03/13/2020,15113,,1016
03/14/2020,17660,,1268
03/15/2020,21157,,1441
03/16/2020,23980,,1811
03/17/2020,27980,,2158
03/18/2020,31506,,2505
03/19/2020,35713,,2978
03/20/2020,41035,,3407
03/21/2020,47021,,4032
03/22/2020,53578,,4827
03/23/2020,59138,,5476
03/24/2020,63927,,6077
03/25/2020,69176,,6820
03/26/2020,74386,,7505
03/27/2020,80539,,8165
03/28/2020,86498,,9136
03/29/2020,92472,,10023
03/30/2020,97689,,10781
03/31/2020,101739,,11591
04/01/2020,105792,,12430
04/02/2020,110574,,13157
04/03/2020,115242,,13917
04/04/2020,119827,,14681
04/05/2020,124632,,15362
04/06/2020,128948,,15889
04/07/2020,132547,,16525
04/08/2020,135586,,17129
04/09/2020,139422,,17669
04/10/2020,143626,,18281
04/11/2020,147577,,18851
04/12/2020,152271,,19470
04/13/2020,156363,,19901
04/14/2020,159516,,20465
04/15/2020,162488,,21069
04/16/2020,165155,,21647
04/17/2020,168941,,22172
04/18/2020,172434,,22747
04/19/2020,175925,,23227
04/20/2020,178972,,23660
04/21/2020,181228,,24114
04/22/2020,183957,,24648
04/23/2020,187327,,25085
04/24/2020,189973,,25549
04/25/2020,192994,,25969
04/26/2020,195351,,26384
04/27/2020,197675,,26644
04/28/2020,199414,,26977
04/29/2020,201505,,27359
04/30/2020,203591,,27682
05/01/2020,205463,,27967
05/02/2020,207428,,28236
05/03/2020,209328,,28710
05/04/2020,210717,,28884
05/05/2020,211938,,29079
05/06/2020,213013,,29315
05/07/2020,214457,,29684
05/08/2020,215858,,29958
05/09/2020,217185,,30201
05/10/2020,218268,,30395
05/11/2020,219070,,30560
05/12/2020,219814,,30739
05/13/2020,221216,,30911
05/14/2020,222104,,31106
05/15/2020,223096,,31368
05/16/2020,223885,,31610
