Day(200 confirmed cases),Germany,Italy,United States,South Korea,Sweden,Brazil,Colombia
1,3.16,3.79,0.71,6.69,19.93,0.95,5.74
2,4.82,5.33,1.03,11.65,24.35,1.12,6.34
3,8.25,6.62,1.33,14.77,32.01,1.39,7.83
4,10.22,10.76,1.70,17.28,45.37,2.04,9.74
5,10.88,14.70,2.31,22.21,60.88,2.96,10.17
6,13.74,18.67,3.14,30.91,76.11,4.32,11.17
7,15.63,27.95,4.02,39.18,90.74,5.39,12.60
8,18.90,33.70,5.09,56.80,101.34,7.38,14.55
9,28.57,41.41,6.65,68.32,110.08,9.03,16.54
10,36.93,51.12,9.03,81.62,114.60,10.51,18.77
11,45.77,63.85,11.55,93.24,127.76,11.62,22.07
12,58.36,76.73,14.27,103.24,139.74,13.92,24.06
13,72.52,97.37,19.67,111.73,159.38,16.31,26.25
14,86.31,122.06,28.82,121.77,171.46,18.64,29.13
15,98.88,151.80,43.62,131.13,187.17,20.32,30.77
16,170.53,167.97,60.07,138.24,197.97,21.86,32.72
17,219.37,206.25,81.87,143.04,223.11,27.29,36.88
18,258.88,250.13,107.77,145.58,246.49,32.63,42.56
19,298.82,292.28,142.16,150.27,275.55,37.76,46.06
20,352.35,350.16,169.06,152.48,299.12,43.23,51.24
21,380.60,396.88,211.80,154.61,338.50,49.07,56.14
22,440.36,463.08,263.22,156.69,363.34,53.13,57.52
23,510.07,521.43,320.45,158.16,395.55,57.55,59.10
24,585.99,591.06,381.60,159.59,435.52,65.48,61.73
25,633.82,679.14,437.80,161.22,485.80,76.03,64.34
26,691.12,778.21,503.91,163.02,536.77,85.25,66.99
27,746.79,886.73,580.43,165.97,596.87,93.75,71.26
28,812.56,978.75,663.39,167.65,632.71,98.95,75.03
29,886.81,1058.01,751.61,170.50,670.71,105.83,78.58
30,961.28,1144.89,850.86,172.40,707.64,111.85,82.41
31,1034.64,1231.11,955.77,173.64,755.46,120.60,85.97
32,1106.24,1332.95,1033.51,175.11,826.76,135.20,90.26
33,1150.60,1431.57,1127.06,177.05,897.66,145.25,94.51
34,1196.84,1530.44,1220.77,179.07,951.08,160.80,101.14
35,1245.12,1616.79,1322.77,180.83,996.84,174.72,106.55
36,1305.12,1683.81,1426.54,183.66,1029.44,184.53,111.46
37,1369.33,1750.89,1535.29,185.69,1075.11,193.73,115.98
38,1419.18,1830.04,1622.20,187.20,1123.91,205.66,123.27
39,1453.20,1907.29,1706.74,189.63,1171.25,218.44,128.70
40,1483.80,1983.18,1783.34,189.63,1231.44,236.27,134.84
41,1508.92,2062.70,1865.75,193.31,1297.83,253.00,145.18
42,1538.90,2134.13,1958.03,194.97,1357.34,279.32,150.96
43,1573.47,2193.70,2054.96,196.80,1412.62,295.45,158.89
44,1614.24,2243.99,2149.34,198.37,1451.12,317.47,165.21
45,1657.77,2307.48,2250.12,199.28,1504.64,343.18,178.48
46,1687.42,2377.06,2325.42,200.19,1571.61,373.14,185.65
47,1708.83,2442.45,2411.33,201.21,1645.36,407.60,195.94
48,1730.36,2520.14,2525.47,201.97,1725.10,437.24,208.27
49,1757.34,2587.86,2579.31,202.49,1785.00,460.97,217.47
50,1785.71,2640.04,2660.56,202.49,1830.47,482.87,229.24
51,1813.90,2689.23,2725.92,203.69,1858.56,514.54,240.64
52,1838.69,2733.37,2874.47,204.18,1926.81,547.65,254.30
53,1859.64,2796.03,2956.68,204.70,1993.68,597.79,267.93
54,1871.92,2853.84,3025.68,205.23,2071.26,644.99,282.02
55,1885.72,2911.62,3099.55,205.65,2113.29,693.79,294.58
56,1901.45,2962.05,3183.19,206.08,2168.48,744.45,309.56
57,1919.28,2999.38,3274.77,206.43,2191.56,776.72,322.72
58,1919.28,3044.55,3378.71,206.58,2231.23,803.61,337.66
59,1950.44,3100.32,3468.36,206.83,2279.84,847.80,350.92
60,1960.01,3144.12,3544.80,207.01,2348.78,902.16,366.51
61,1968.20,3194.11,3613.96,207.22,2418.01,968.72,379.83
62,1976.46,3233.12,3686.93,207.38,2481.05,1041.79,396.43
