Day(200 confirmed cases),Germany,Italy,United States,South Korea,Sweden,Brazil,Colombia
1,0.00,0.10,0.04,0.04,0.00,0.00,0.04
2,0.00,0.18,0.04,0.10,0.00,0.00,0.06
3,0.00,0.20,0.05,0.14,0.10,0.00,0.06
4,0.00,0.28,0.06,0.16,0.10,0.02,0.08
5,0.00,0.35,0.08,0.21,0.10,0.03,0.12
6,0.02,0.48,0.09,0.23,0.20,0.05,0.12
7,0.02,0.58,0.09,0.25,0.29,0.09,0.12
8,0.04,0.86,0.12,0.31,0.49,0.12,0.21
9,0.06,1.32,0.14,0.33,0.69,0.16,0.29
10,0.06,1.77,0.17,0.43,0.79,0.22,0.33
11,0.10,2.45,0.21,0.54,1.37,0.27,0.35
12,0.14,3.26,0.26,0.62,2.06,0.37,0.39
13,0.16,3.86,0.33,0.68,2.95,0.44,0.52
14,0.16,6.06,0.46,0.81,3.73,0.54,0.66
15,0.16,7.68,0.46,0.85,4.81,0.65,0.73
16,0.52,10.44,0.80,0.97,5.89,0.76,0.95
17,0.54,13.69,1.04,0.99,7.95,0.96,1.04
18,0.81,16.82,1.44,1.05,10.11,1.15,1.14
19,1.13,20.99,1.81,1.16,13.16,1.43,1.43
20,1.52,23.85,2.45,1.28,16.30,1.71,1.66
21,1.80,29.97,3.21,1.30,19.74,2.06,2.07
22,2.39,35.72,3.97,1.40,23.47,2.32,2.26
23,3.05,41.46,5.23,1.45,27.89,2.64,2.32
24,3.92,49.29,6.71,1.45,32.60,3.18,2.63
25,4.69,56.39,7.68,1.57,37.81,3.82,2.71
26,5.49,66.73,9.70,1.67,44.68,4.49,2.98
27,7.03,79.89,12.49,1.76,52.54,5.04,3.17
28,8.83,90.63,15.73,1.94,59.41,5.37,3.44
29,10.52,100.58,18.53,2.00,67.76,5.84,3.71
30,12.27,112.87,21.91,2.02,76.60,6.34,3.92
31,13.97,124.21,26.02,2.19,84.85,7.31,4.06
32,16.19,135.13,29.53,2.33,96.14,8.29,4.27
33,17.30,151.20,33.64,2.44,104.58,9.19,4.46
34,19.38,165.88,39.47,2.54,113.42,10.22,4.62
35,22.45,178.43,45.36,2.69,123.54,11.20,4.83
36,25.41,191.83,51.09,2.79,133.06,11.75,5.06
37,28.62,205.72,57.48,2.95,141.41,12.29,5.24
38,30.69,217.75,63.08,3.06,150.35,13.09,5.57
39,32.24,230.33,67.67,3.16,161.64,13.87,5.76
40,33.76,242.98,72.39,3.16,172.54,15.82,6.07
41,35.81,254.25,79.76,3.27,180.59,17.52,6.51
42,39.25,262.97,94.85,3.37,189.04,19.17,6.71
43,43.05,273.49,101.88,3.43,197.68,20.07,7.05
44,46.66,283.49,113.42,3.55,205.93,21.69,7.42
45,49.57,292.43,119.10,3.60,212.02,23.95,7.83
46,51.79,302.56,124.53,3.72,219.58,26.09,8.23
47,53.12,311.99,130.21,3.88,228.02,28.17,8.43
48,55.46,322.23,137.94,3.95,236.76,30.21,8.87
49,58.85,329.37,143.21,4.03,243.93,32.22,9.22
50,61.44,338.70,152.94,4.03,251.30,33.54,9.59
51,64.18,348.70,156.16,4.15,258.47,34.95,9.93
52,66.34,358.26,162.81,4.20,266.52,37.81,10.22
53,68.03,366.95,167.98,4.30,274.77,40.75,10.55
54,69.36,376.47,172.17,4.36,282.43,43.66,10.88
55,71.32,384.41,178.63,4.44,290.09,47.25,11.31
56,73.76,391.58,186.62,4.46,297.26,50.73,11.65
57,75.85,399.09,192.86,4.50,304.62,53.10,11.89
58,78.17,407.93,199.18,4.53,312.87,54.99,12.27
59,79.31,415.17,203.21,4.57,319.94,59.20,12.70
60,80.20,422.84,207.18,4.59,327.11,62.77,13.05
61,80.72,429.80,211.01,4.61,334.96,66.80,13.51
62,82.39,436.66,217.57,4.65,340.86,70.74,14.13
63,84.38,440.97,224.77,4.65,347.63,74.63,14.61
64,85.87,446.48,231.63,4.65,354.90,76.95,15.06
65,87.64,452.80,236.25,4.69,361.18,80.16,15.54
66,88.88,458.15,241.19,4.71,367.17,85.79,16.08
67,89.20,462.86,243.44,4.73,372.08,90.03,16.64
68,89.46,467.32,246.98,4.77,376.60,95.70,17.03
69,90.86,475.16,252.19,4.79,382.30,100.48,17.68
70,92.08,478.04,257.53,4.81,387.11,105.09,18.44
71,93.15,481.27,262.96,4.84,392.31,108.21,19.46
72,94.37,485.17,268.05,4.84,398.30,112.06,20.08
73,95.06,491.28,271.68,4.88,402.23,117.02,20.91
74,95.46,495.81,274.15,4.92,407.54,122.20,21.65
75,95.71,499.84,276.57,4.94,412.84,127.72,22.52
76,96.58,503.05,281.37,4.96,418.34,133.09,23.73
77,97.58,505.78,286.02,4.96,423.84,137.65,24.97
78,98.27,508.74,289.89,4.96,428.16,139.94,26.09
79,98.59,511.59,293.88,4.96,432.28,142.92,27.10
80,99.10,514.81,297.19,4.96,435.03,148.94,28.43
81,99.47,519.15,299.12,5.00,438.86,155.38,29.69
82,99.59,523.16,300.65,5.02,442.79,162.42,30.83
83,100.14,525.69,302.78,5.04,446.72,167.21,32.02
84,100.70,528.09,307.46,5.04,450.55,171.53,32.99
85,101.45,529.73,311.05,5.08,454.97,174.04,34.54
86,101.92,532.41,314.78,5.08,458.89,177.28,35.77
87,102.39,535.07,317.68,5.10,462.53,183.35,37.32
88,102.53,537.65,319.52,5.10,465.08,189.43,38.63
89,102.66,539.81,321.86,5.10,469.50,195.35,40.41
90,102.79,541.78,325.02,5.12,473.23,199.69,42.38
91,103.14,542.60,328.07,5.12,476.28,203.94,44.05
92,103.50,544.13,331.24,5.15,479.52,206.87,46.35
93,103.89,545.42,334.09,5.15,483.25,209.86,47.87
94,104.29,547.35,336.11,5.17,486.49,215.98,49.82
95,104.55,548.51,338.29,5.21,490.42,222.04,51.62
96,104.62,549.95,339.80,5.21,493.95,227.95,55.00
97,105.07,551.79,342.85,5.21,496.90,233.70,58.25
98,105.29,553.03,345.66,5.21,500.14,238.58,60.90
99,105.60,554.02,348.41,5.21,502.79,241.64,64.36
100,105.70,554.93,351.01,5.23,505.83,244.77,66.79
101,105.92,556.11,353.35,5.25,508.58,251.33,69.09
102,105.99,557.56,354.26,5.27,511.82,256.98,71.90
103,106.04,558.97,355.47,5.29,514.67,262.43,75.45
104,106.14,560.16,358.03,5.29,517.52,267.16,78.27
105,106.51,561.04,360.34,5.29,520.37,272.45,81.69
106,106.82,562.12,362.53,5.29,522.43,275.09,84.21
107,107.01,563.42,364.61,5.29,524.49,278.39,87.24
108,107.13,564.60,366.46,5.29,526.95,284.50,90.33
109,107.13,565.48,367.25,5.31,529.11,289.46,93.81
110,107.17,566.40,368.55,5.35,531.47,295.43,97.68
111,107.29,567.69,371.08,5.35,532.64,301.59,102.05
112,107.52,568.42,373.38,5.37,534.02,306.80,106.07
113,107.68,568.85,380.84,5.37,536.18,309.67,109.97
114,107.93,569.41,382.75,5.37,537.95,312.63,113.04
115,108.00,570.13,384.28,5.37,539.91,318.62,116.56
116,108.04,571.22,385.09,5.39,541.58,324.46,120.48
117,108.09,572.00,386.12,5.41,543.05,330.28,124.93
118,108.23,572.81,390.01,5.43,543.84,336.08,130.30
119,108.38,573.20,392.00,5.43,545.31,341.19,135.02
120,108.48,573.58,394.08,5.43,546.20,344.20,139.58
121,108.59,573.88,396.20,5.43,547.77,347.70,143.58
122,108.68,573.37,396.94,5.43,548.94,353.91,148.49
123,108.70,573.93,397.77,5.45,550.03,359.79,152.78
124,108.75,574.43,398.87,5.45,551.50,366.11,159.31
125,108.85,574.56,402.46,5.46,552.87,371.66,165.26
126,108.99,574.93,405.00,5.46,553.95,376.06,171.35
127,109.14,575.02,408.01,5.46,554.84,379.47,176.65
128,109.21,575.41,410.47,5.46,556.21,382.49,181.87
129,109.28,575.75,412.67,5.46,557.00,389.02,188.03
130,109.32,576.25,413.87,5.46,557.59,395.15,195.90
131,109.33,576.50,415.09,5.46,558.37,401.40,203.28
132,109.38,576.85,417.73,5.46,559.16,406.92,209.39
133,109.41,576.96,420.64,5.46,560.24,412.70,214.06
134,109.50,577.09,423.52,5.48,561.22,415.35,220.69
135,109.55,577.59,426.30,5.48,561.91,418.29,228.29
136,109.56,577.84,428.91,5.48,562.59,422.68,234.47
137,109.57,578.04,430.18,5.52,563.28,430.30,240.87
138,109.59,578.24,431.32,5.52,564.36,435.69,247.40
139,109.64,578.35,434.87,5.56,564.76,441.47,253.84
140,109.70,578.50,438.31,5.58,564.85,446.67,259.85
141,109.78,578.72,441.53,5.58,565.05,449.25,266.11
142,109.90,579.00,445.52,5.60,565.64,451.93,272.57
143,109.98,579.21,448.32,5.60,566.03,457.44,279.23
144,109.98,579.54,449.77,5.60,566.13,464.30,286.73
145,109.98,579.72,453.07,5.60,566.13,470.20,293.11
146,110.03,579.96,456.88,5.64,566.42,475.35,300.30
147,110.10,580.01,461.34,5.68,566.72,479.67,306.89
148,110.17,580.22,465.49,5.70,566.82,482.40,312.84
149,110.26,580.47,469.30,5.72,567.31,485.76,318.53
150,110.26,580.62,472.77,5.74,567.51,491.84,323.65
151,110.26,580.78,474.03,5.74,567.60,497.45,331.11
152,110.34,580.87,475.69,5.76,568.09,503.48,335.34
153,110.44,580.95,479.99,5.76,568.39,508.54,343.32
154,110.58,581.03,484.43,5.77,568.59,511.92,351.61
155,110.67,581.12,490.08,5.77,568.98,514.88,358.82
156,110.76,581.30,493.92,5.77,569.17,518.15,364.95
157,110.91,581.40,497.19,5.79,569.57,524.60,370.69
158,110.92,581.45,498.76,5.81,569.86,530.39,376.80
159,110.93,581.60,500.36,5.81,570.35,536.14,382.69
160,110.98,581.68,503.65,5.81,570.35,541.17,388.88
161,111.05,581.81,508.21,5.83,570.45,545.43,395.04
162,111.10,582.01,511.53,5.83,570.45,547.78,401.26
163,111.27,582.09,515.62,5.83,570.55,550.48,
164,111.34,582.26,518.79,5.83,571.14,556.55,
165,111.34,582.36,520.53,5.83,571.24,561.73,
166,111.36,582.41,521.90,5.85,571.33,566.43,
167,111.36,582.62,525.95,5.85,571.43,570.51,
168,111.49,582.65,530.10,5.87,571.53,575.08,
169,111.61,582.72,533.40,5.89,571.53,576.83,
170,111.69,582.82,536.92,5.91,571.53,,
171,111.78,582.99,539.85,5.91,571.53,,
172,111.80,583.08,541.21,5.91,571.53,,
173,111.84,583.13,542.66,5.91,571.63,,
174,111.90,585.75,546.35,5.91,571.63,,
175,111.93,585.82,550.11,5.91,571.63,,
176,111.99,585.88,553.51,5.91,,,
177,112.03,585.96,556.41,5.91,,,
178,112.04,586.08,559.49,5.91,,,
179,112.12,586.18,560.38,5.93,,,
180,112.15,586.33,,5.93,,,
181,,586.38,,5.95,,,
182,,586.49,,5.99,,,
183,,586.56,,5.99,,,
184,,586.63,,5.99,,,
185,,586.84,,5.99,,,
186,,586.92,,6.01,,,
187,,587.07,,6.05,,,
188,,587.09,,6.07,,,
189,,587.16,,6.12,,,
190,,,,6.22,,,
191,,,,6.26,,,
192,,,,6.28,,,
