Date,Germany,Italy,United States,South Korea,Colombia
1/20/2020,,,,1,
1/21/2020,,,1,1,
1/22/2020,,,1,1,
1/23/2020,,,1,1,
1/24/2020,,,1,2,
1/25/2020,,,2,2,
1/26/2020,,,2,3,
1/27/2020,,,5,4,
1/28/2020,1,,5,4,
1/29/2020,4,,5,4,
1/30/2020,4,,5,4,
1/31/2020,5,3,6,7,
2/01/2020,7,3,7,12,
2/02/2020,8,3,8,15,
2/03/2020,9,3,11,15,
2/04/2020,11,3,11,16,
2/05/2020,11,3,11,18,
2/06/2020,11,3,12,23,
2/07/2020,12,3,12,24,
2/08/2020,13,3,12,24,
2/09/2020,13,3,12,25,
2/10/2020,13,3,12,27,
2/11/2020,13,3,13,28,
2/12/2020,15,3,13,28,
2/13/2020,15,3,14,28,
2/14/2020,15,3,15,28,
2/15/2020,15,3,15,28,
2/16/2020,15,3,15,29,
2/17/2020,15,3,15,30,
2/18/2020,15,3,15,31,
2/19/2020,15,3,15,46,
2/20/2020,15,3,15,80,
2/21/2020,15,3,16,155,
2/22/2020,15,17,35,345,
2/23/2020,15,79,35,601,
2/24/2020,15,132,35,762,
2/25/2020,15,229,53,892,
2/26/2020,17,322,53,1146,
2/27/2020,21,400,59,1595,
2/28/2020,47,650,60,2022,
2/29/2020,57,888,66,2931,
3/01/2020,111,1128,69,3526,
3/02/2020,129,1689,89,4212,
3/03/2020,157,2036,103,4812,
3/04/2020,196,2502,125,5328,
3/05/2020,262,3089,159,5766,
3/06/2020,400,3858,233,6284,1
3/07/2020,684,4636,338,6767,1
3/08/2020,847,5883,433,7134,1
3/09/2020,902,7375,554,7382,3
3/10/2020,1139,9172,754,7513,3
3/11/2020,1296,10149,1025,7755,9
3/12/2020,1567,12462,1312,7869,13
3/13/2020,2369,15113,1663,7979,16
3/14/2020,3062,17660,2174,8086,24
3/15/2020,3795,21157,2951,8162,45
3/16/2020,4838,23980,3774,8236,57
3/17/2020,6012,27980,4661,8320,75
3/18/2020,7156,31506,6427,8413,102
3/19/2020,8198,35713,9415,8565,128
3/20/2020,14138,41035,14250,8652,175
3/21/2020,18187,47021,19624,8799,196
3/22/2020,21463,53578,26747,8897,277
3/23/2020,24774,59138,35206,8961,306
3/24/2020,29212,63927,46442,9037,378
3/25/2020,31554,69176,55231,9137,470
3/26/2020,36508,74386,69194,9241,491
3/27/2020,42288,80539,85991,9332,539
3/28/2020,48582,86498,104686,9478,608
3/29/2020,52547,92472,124665,9583,702
3/30/2020,57298,97689,143025,9661,798
3/31/2020,61913,101739,164620,9786,906
4/01/2020,67366,105792,189618,9786,1065
4/02/2020,73522,110574,216721,9976,1161
4/03/2020,79696,115242,245540,10062,1267
4/04/2020,85778,119827,277965,10156,1406
4/05/2020,91714,124632,312237,10237,1485
4/06/2020,95391,128948,337635,10284,1579
4/07/2020,99225,132547,368196,10331,1780
4/08/2020,103228,135586,398809,10384,2054
4/09/2020,108202,139422,432132,10423,2223
4/10/2020,113525,143626,466033,10450,2473
4/11/2020,117658,147577,501560,10450,2709
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
