Date,Germany,Italy,United States,South Korea,Colombia
2/21/2020,0,0,0,1,0
2/22/2020,0,0,0,2,0
2/23/2020,0,2,0,5,0
2/24/2020,0,2,0,7,0
2/25/2020,0,6,0,8,0
2/26/2020,0,11,0,11,0
2/27/2020,0,12,0,12,0
2/28/2020,0,17,0,13,0
2/29/2020,0,21,0,16,0
3/01/2020,0,29,1,17,0
3/02/2020,0,35,2,22,0
3/03/2020,0,52,6,28,0
3/04/2020,0,80,9,32,0
3/05/2020,0,107,11,35,0
3/06/2020,0,148,12,42,0
3/07/2020,0,197,14,44,0
3/08/2020,0,233,17,50,0
3/09/2020,0,366,21,51,0
3/10/2020,2,464,26,54,0
3/11/2020,2,631,28,60,0
3/12/2020,3,827,30,66,0
3/13/2020,5,1016,40,67,0
3/14/2020,5,1268,47,72,0
3/15/2020,8,1441,57,75,0
3/16/2020,12,1811,69,75,0
3/17/2020,13,2158,85,81,0
3/18/2020,13,2505,108,86,0
3/19/2020,13,2978,150,91,0
3/20/2020,43,3407,150,100,0
3/21/2020,45,4032,260,103,1
3/22/2020,67,4827,340,104,2
3/23/2020,94,5476,471,113,3
3/24/2020,126,6077,590,120,3
3/25/2020,149,6820,801,126,4
3/26/2020,198,7505,1050,131,6
3/27/2020,253,8165,1296,139,6
3/28/2020,325,9136,1707,144,6
3/29/2020,389,10023,2191,152,10
3/30/2020,455,10781,2509,158,14
3/31/2020,583,11591,3170,163,16
4/01/2020,732,12430,4079,163,17
4/02/2020,872,13157,5138,169,19
4/03/2020,1017,13917,6053,174,25
4/04/2020,1158,14681,7157,177,32
4/05/2020,1342,15362,8501,183,35
4/06/2020,1434,15889,9647,186,46
4/07/2020,1607,16525,10989,192,50
4/08/2020,1861,17129,12895,200,55
4/09/2020,2107,17669,14817,204,69
4/10/2020,2373,18281,16690,208,80
