Date,Total Confirmed Cases,Total Tests,Total deaths
12/31/2019,0,,0
01/01/2020,0,,0
01/02/2020,0,,0
01/03/2020,0,,0
01/04/2020,0,,0
01/05/2020,0,,0
01/06/2020,0,,0
01/07/2020,0,,0
01/08/2020,0,,0
01/09/2020,0,,0
01/10/2020,0,,0
01/11/2020,0,,0
01/12/2020,0,,0
01/13/2020,0,,0
01/14/2020,0,,0
01/15/2020,0,,0
01/16/2020,0,,0
01/17/2020,0,,0
01/18/2020,0,,0
01/19/2020,0,,0
01/20/2020,1,,0
01/21/2020,1,11,0
01/22/2020,1,16,0
01/23/2020,1,,0
01/24/2020,2,25,0
01/25/2020,2,,0
01/26/2020,3,48,0
01/27/2020,4,57,0
01/28/2020,4,187,0
01/29/2020,4,,0
01/30/2020,4,244,0
01/31/2020,7,,0
02/01/2020,12,371,0
02/02/2020,15,429,0
02/03/2020,15,,0
02/04/2020,16,607,0
02/05/2020,18,714,0
02/06/2020,23,885,0
02/07/2020,24,1130,0
02/08/2020,24,1701,0
02/09/2020,25,2340,0
02/10/2020,27,2776,0
02/11/2020,28,3629,0
02/12/2020,28,5074,0
02/13/2020,28,5797,0
02/14/2020,28,6854,0
02/15/2020,28,7519,0
02/16/2020,29,7919,0
02/17/2020,30,8171,0
02/18/2020,31,9265,0
02/19/2020,46,10411,0
02/20/2020,80,12161,0
02/21/2020,155,14816,1
02/22/2020,345,19621,2
02/23/2020,601,22633,5
02/24/2020,762,28615,7
02/25/2020,892,36716,8
02/26/2020,1146,46127,11
02/27/2020,1595,57990,12
02/28/2020,2022,70940,13
02/29/2020,2931,85693,16
03/01/2020,3526,96985,17
03/02/2020,4212,109591,22
03/03/2020,4812,125851,28
03/04/2020,5328,136707,32
03/05/2020,5766,146541,35
03/06/2020,6284,164740,42
03/07/2020,6767,178189,44
03/08/2020,7134,188518,50
03/09/2020,7382,196618,51
03/10/2020,7513,210144,54
03/11/2020,7755,222395,60
03/12/2020,7869,234998,66
03/13/2020,7979,248647,67
03/14/2020,8086,261335,72
03/15/2020,8162,268212,75
03/16/2020,8236,274504,75
03/17/2020,8320,286716,81
03/18/2020,8413,295647,86
03/19/2020,8565,307024,91
03/20/2020,8652,316664,100
03/21/2020,8799,327509,103
03/22/2020,8897,331780,104
03/23/2020,8961,338036,113
03/24/2020,9037,348582,120
03/25/2020,9137,357896,126
03/26/2020,9241,364942,131
03/27/2020,9332,376961,139
03/28/2020,9478,387925,144
03/29/2020,9583,394141,152
03/30/2020,9661,395194,158
03/31/2020,9786,410564,163
04/01/2020,9786,421547,163
04/02/2020,9976,431743,169
04/03/2020,10062,443273,174
04/04/2020,10156,455032,177
04/05/2020,10237,461233,183
04/06/2020,10284,466804,186
04/07/2020,10331,477304,192
04/08/2020,10384,486003,200
04/09/2020,10423,494711,204
04/10/2020,10450,503051,208
04/11/2020,10450,510479,208
04/12/2020,10512,514621,214
04/13/2020,10537,518743,217
04/14/2020,10564,527438,222
04/15/2020,10591,534552,225
04/16/2020,10613,538775,229
04/17/2020,10635,546463,230
04/18/2020,10653,554834,232
04/19/2020,10661,559109,234
04/20/2020,10674,563035,236
04/21/2020,10683,571014,237
04/22/2020,10694,577959,238
04/23/2020,10702,583971,240
04/24/2020,10708,589520,240
04/25/2020,10718,595161,240
04/26/2020,10728,598285,242
04/27/2020,10738,601660,243
04/28/2020,10752,608514,244
04/29/2020,10761,614197,246
04/30/2020,10765,619881,247
05/01/2020,10774,623069,248
05/02/2020,10780,627562,250
05/03/2020,10793,630973,250
05/04/2020,10801,633921,252
05/05/2020,10804,640237,254
05/06/2020,10806,643095,255
05/07/2020,10810,649388,256
05/08/2020,10822,654863,256
05/09/2020,10840,660030,256
05/10/2020,10874,663886,256
05/11/2020,10909,668492,256
05/12/2020,10936,680890,258
05/13/2020,10962,695920,259
05/14/2020,10991,711484,260
05/15/2020,11018,726747,260
05/16/2020,11037,740645,262
05/17/2020,11050,747653,262
05/18/2020,11065,753211,263
05/19/2020,11078,765574,263
05/20/2020,11110,,263
