Date,Total Confirmed Cases,Total Tests,Total deaths
12/31/2019,0,,0
01/01/2020,0,,0
01/02/2020,0,,0
01/03/2020,0,,0
01/04/2020,0,,0
01/05/2020,0,,0
01/06/2020,0,,0
01/07/2020,0,,0
01/08/2020,0,,0
01/09/2020,0,,0
01/10/2020,0,,0
01/11/2020,0,,0
01/12/2020,0,,0
01/13/2020,0,,0
01/14/2020,0,,0
01/15/2020,0,,0
01/16/2020,0,,0
01/17/2020,0,,0
01/18/2020,0,,0
01/19/2020,0,,0
01/20/2020,0,,0
01/21/2020,0,,0
01/22/2020,0,,0
01/23/2020,0,,0
01/24/2020,0,,0
01/25/2020,0,,0
01/26/2020,0,,0
01/27/2020,0,,0
01/28/2020,0,,0
01/29/2020,0,,0
01/30/2020,0,,0
01/31/2020,0,,0
02/01/2020,1,,0
02/02/2020,1,,0
02/03/2020,1,,0
02/04/2020,1,,0
02/05/2020,1,,0
02/06/2020,1,,0
02/07/2020,1,,0
02/08/2020,1,,0
02/09/2020,1,,0
02/10/2020,1,,0
02/11/2020,1,,0
02/12/2020,1,,0
02/13/2020,1,,0
02/14/2020,1,,0
02/15/2020,1,,0
02/16/2020,1,,0
02/17/2020,1,,0
02/18/2020,1,,0
02/19/2020,1,,0
02/20/2020,1,,0
02/21/2020,1,,0
02/22/2020,1,,0
02/23/2020,1,,0
02/24/2020,1,,0
02/25/2020,1,,0
02/26/2020,1,,0
02/27/2020,1,,0
02/28/2020,2,,0
02/29/2020,3,,0
03/01/2020,11,,0
03/02/2020,14,,0
03/03/2020,14,,0
03/04/2020,19,,0
03/05/2020,32,,0
03/06/2020,62,,0
03/07/2020,87,,0
03/08/2020,146,,0
03/09/2020,179,,0
03/10/2020,225,,0
03/11/2020,326,,0
03/12/2020,424,,1
03/13/2020,620,,1
03/14/2020,771,,1
03/15/2020,923,,2
03/16/2020,994,,3
03/17/2020,1063,,5
03/18/2020,1146,,7
03/19/2020,1265,,8
03/20/2020,1410,,14
03/21/2020,1553,,21
03/22/2020,1733,,30
03/23/2020,1868,,38
03/24/2020,1986,,49
03/25/2020,2168,,60
03/26/2020,2398,,81
03/27/2020,2712,,103
03/28/2020,2998,,134
03/29/2020,3363,,166
03/30/2020,3663,,201
03/31/2020,3943,,239
04/01/2020,4359,,284
04/02/2020,4834,,332
04/03/2020,5320,,385
04/04/2020,5874,,455
04/05/2020,6475,,535
04/06/2020,6832,,605
04/07/2020,7172,,690
04/08/2020,7561,,780
04/09/2020,8299,,864
04/10/2020,8954,,979
04/11/2020,9599,,1065
04/12/2020,10053,,1155
04/13/2020,10448,,1258
04/14/2020,10912,,1355
04/15/2020,11349,,1440
04/16/2020,11828,,1531
04/17/2020,12432,,1646
04/18/2020,13055,,1757
04/19/2020,13743,,1839
04/20/2020,14275,,1925
04/21/2020,14663,,2013
04/22/2020,15124,,2097
04/23/2020,15831,,2159
04/24/2020,16553,,2236
04/25/2020,17311,,2322
04/26/2020,18090,,2411
04/27/2020,18563,,2484
04/28/2020,18863,,2559
04/29/2020,19426,,2632
04/30/2020,20168,,2714
05/01/2020,20966,,2798
05/02/2020,21601,,2876
05/03/2020,22133,,2954
05/04/2020,22432,,3027
05/05/2020,22693,,3102
05/06/2020,23169,,3186
05/07/2020,23826,,3258
05/08/2020,24572,,3331
05/09/2020,25359,,3411
05/10/2020,26059,,3471
05/11/2020,26568,,3540
05/12/2020,26846,,3614
05/13/2020,27301,,3678
05/14/2020,28055,,3739
05/15/2020,28755,,3789
05/16/2020,29415,,3835
05/17/2020,30103,,3893
05/18/2020,30461,,3942
05/19/2020,30720,,3995
05/20/2020,31151,,4056
05/21/2020,31818,,4096
05/22/2020,32626,,4150
05/23/2020,33236,,4204
05/24/2020,33768,,4260
05/25/2020,34171,,4316
05/26/2020,34381,,4360
05/27/2020,34871,,4402
05/28/2020,35617,,4430
05/29/2020,36417,,4469
05/30/2020,37191,,4509
05/31/2020,37964,,4549
06/01/2020,38396,,4588
06/02/2020,38661,,4633
06/03/2020,39309,,4673
06/04/2020,40210,,4710
06/05/2020,41256,,4736
06/06/2020,42295,,4781
06/07/2020,43441,,4819
06/08/2020,44224,,4850
06/09/2020,44686,,4883
06/10/2020,45363,,4921
06/11/2020,46310,,4954
06/12/2020,47747,,4994
06/13/2020,49041,,5030
06/14/2020,50378,,5060
06/15/2020,51420,,5093
06/16/2020,51838,,5120
06/17/2020,52522,,5151
06/18/2020,53740,,5179
06/19/2020,55197,,5212
06/20/2020,56693,,5241
06/21/2020,57906,,5270
06/22/2020,58608,,5299
06/23/2020,58929,,5320
06/24/2020,59729,,5341
06/25/2020,61042,,5366
06/26/2020,62740,,5388
06/27/2020,64021,,5412
06/28/2020,65224,,5424
06/29/2020,65984,,5438
06/30/2020,66404,,5460
07/01/2020,67131,,5478
07/02/2020,67936,,5498
07/03/2020,68620,,5515
07/04/2020,69309,,5530
07/05/2020,70028,,5538
07/06/2020,70418,,5553
07/07/2020,70749,,5562
07/08/2020,71002,,5578
07/09/2020,71296,,5590
07/10/2020,71862,,5601
07/11/2020,72199,,5616
07/12/2020,72600,,5630
07/13/2020,72914,,5641
07/14/2020,73020,,5650
07/15/2020,73190,,5664
07/16/2020,73505,,5672
07/17/2020,73804,,5678
